video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
7504668782045039894,154,183,231,0.2832142857142857,53,71,73,0.3175,106,139,184,0.3992857142857143
7495322095065238806,67,49,75,0.3017857142857142,200,204,208,0.3642261904761905,130,132,148,0.3339880952380952
7494238893546474774,165,171,180,0.4723214285714285,140,144,152,0.4433928571428571,87,87,94,0.0842857142857142
7490222588883422486,103,125,159,0.23875,213,219,226,0.6254017857142857,26,30,40,0.1358482142857142
7488220279244623126,94,128,157,0.6775,170,182,203,0.1511309523809524,49,60,72,0.1713690476190476
7486138878026321174,103,118,136,0.1832738095238095,175,185,196,0.705654761904762,13,11,16,0.1110714285714285
7483898615803612418,19,52,77,0.2033928571428571,130,150,172,0.545625,197,207,216,0.2509821428571429
7480918194438278422,187,199,215,0.5659642857142857,37,50,70,0.1509285714285714,117,139,166,0.2831071428571428
7480563839319264534,142,180,201,0.4067410714285714,192,215,230,0.4491964285714285,16,41,69,0.1440625
7471286673494527254,136,146,161,0.3031845238095238,57,60,70,0.2683035714285714,195,202,211,0.4285119047619047
7470532387223407904,50,54,84,0.3151071428571428,15,15,31,0.6521428571428571,194,173,154,0.03275
7468709057516326177,179,190,206,0.3131696428571429,40,65,98,0.2888392857142857,97,124,161,0.3979910714285714
7468323433714126112,178,186,193,0.5789285714285715,47,54,61,0.1903571428571428,119,127,136,0.2307142857142857
7466109584952855840,98,128,165,0.2019642857142857,55,78,111,0.2549404761904762,192,200,210,0.5430952380952381
7463198577188146464,35,24,35,0.3959183673469387,121,94,108,0.3541326530612245,187,186,198,0.2499489795918367
7458328611213298976,179,189,204,0.6444940476190476,51,53,62,0.1385416666666666,127,133,146,0.2169642857142857
7451579890048027937,59,70,95,0.3105803571428571,212,220,230,0.3426339285714285,124,147,184,0.3467857142857143
7443846446362774817,54,46,44,0.2729166666666666,112,107,113,0.3942261904761904,179,171,170,0.3328571428571428
7436439641298865441,53,42,50,0.3224404761904761,246,242,244,0.38625,145,130,140,0.2913095238095238
7423318018853178657,230,245,250,0.4621875,129,116,85,0.3258482142857143,52,51,57,0.2119642857142857
7414073681992895776,129,129,126,0.2296428571428571,53,56,57,0.4876071428571428,215,224,235,0.28275
7397062762150513952,121,122,116,0.3188928571428571,157,174,203,0.342,45,58,57,0.3391071428571429
7395189160081935649,152,160,95,0.4148214285714285,83,88,37,0.3823979591836735,222,226,216,0.2027806122448979
7350221322317761825,232,223,216,0.030297619047619,110,16,121,0.3555357142857143,38,9,47,0.6141666666666666
7343530174526377249,118,129,149,0.3095663265306122,38,38,38,0.083329081632653,196,193,194,0.6071045918367347
7336238126651706656,182,187,205,0.1561428571428571,64,10,14,0.4830714285714286,137,84,81,0.3607857142857142
7329933240775527713,94,113,142,0.3513392857142857,186,190,201,0.3476785714285714,24,49,80,0.3009821428571428
7329526946751089953,107,120,147,0.5067142857142857,175,176,192,0.3702142857142857,26,17,16,0.1230714285714285
7316851921288006944,29,47,70,0.1670879120879121,184,192,204,0.3786538461538462,71,109,153,0.4542582417582417
7300927450463194400,205,210,227,0.5640561224489796,45,67,115,0.2089795918367347,95,134,186,0.2269642857142857
7297177472615861536,144,134,128,0.2993928571428571,227,225,224,0.3900357142857142,69,61,52,0.3105714285714285
7296855348714016033,101,130,181,0.4477380952380952,53,47,61,0.3354166666666666,200,212,234,0.2168452380952381
7290823677195603233,80,55,52,0.5611904761904762,117,132,156,0.3485714285714286,196,208,212,0.0902380952380952
7261565962875358491,100,101,53,0.4761071428571428,175,179,189,0.3747142857142857,234,234,238,0.1491785714285714
7260104911830945051,155,121,94,0.3039583333333333,63,58,49,0.4008630952380952,185,198,198,0.2951785714285714
7257874855037586714,44,48,39,0.4004081632653061,191,200,215,0.2209438775510204,99,107,111,0.3786479591836734
7210751695771553030,50,52,59,0.2831696428571428,98,113,143,0.5029017857142857,194,198,208,0.2139285714285714
7193808719287766278,23,22,28,0.2983928571428571,149,160,182,0.3021875,95,114,152,0.3994196428571429
7192709681280781574,172,181,197,0.4025595238095238,107,118,140,0.359047619047619,58,66,83,0.2383928571428571
7191884217595219206,116,150,217,0.6195535714285715,32,40,89,0.1359821428571428,193,224,252,0.2444642857142857
7190283346373610757,120,128,149,0.1957142857142857,202,204,217,0.2410714285714285,42,66,117,0.5632142857142857
7184460864404229381,91,97,55,0.1785714285714285,177,190,212,0.4968452380952381,129,132,82,0.3245833333333333
7183681305203330309,26,32,37,0.6468622448979592,133,76,98,0.2947448979591837,183,195,203,0.0583928571428571
7171449726158589189,199,217,236,0.6198214285714285,121,134,151,0.2242857142857142,68,79,95,0.1558928571428571
7168916057166597382,229,234,244,0.6038095238095238,58,49,50,0.2143452380952381,142,148,160,0.1818452380952381
7164397666472873222,119,104,78,0.3411607142857142,204,194,179,0.206875,31,25,19,0.4519642857142857
7161354120849427717,93,64,52,0.3232738095238095,235,217,195,0.2873511904761904,186,147,99,0.389375
7143175958978186502,151,177,229,0.1827142857142857,70,77,77,0.4546428571428571,115,120,130,0.3626428571428571
7132514036276628742,218,195,186,0.2949404761904762,68,65,56,0.3686309523809524,138,127,111,0.3364285714285714
7124374690520419590,44,47,34,0.2730357142857142,194,211,219,0.4403571428571428,127,113,83,0.2866071428571428
7094270154275605765,134,110,102,0.2179910714285714,217,203,193,0.4020089285714285,52,48,46,0.38
6958338154617228549,210,204,198,0.3516785714285714,38,37,32,0.3520357142857143,112,115,107,0.2962857142857142
6955364241213771014,100,104,114,0.3223928571428571,185,202,225,0.28325,46,49,41,0.3943571428571428
6921604099553119494,40,33,30,0.1700255102040816,6,2,4,0.7386224489795918,116,102,81,0.0913520408163265
7604808799404264726,29,39,53,0.2888928571428571,61,126,192,0.5584285714285714,175,203,224,0.1526785714285714
7603273994216738070,105,86,139,0.2927142857142857,23,12,34,0.4791428571428571,203,182,219,0.2281428571428571
7596993704146046230,44,20,13,0.1564484126984127,203,169,136,0.2700992063492063,98,72,66,0.5734523809523809
7593041331174362390,74,81,102,0.2931428571428571,122,132,156,0.61475,191,194,205,0.0921071428571428
7589754729350155542,188,181,154,0.1736862244897959,27,20,25,0.5659821428571429,151,95,57,0.2603316326530612
7587308013363449121,84,63,68,0.2066666666666666,160,127,103,0.1194642857142857,19,13,19,0.6738690476190476
7583720650200730902,93,128,175,0.367984693877551,29,37,57,0.2423214285714285,196,203,220,0.3896938775510204
7577768828214512918,183,189,194,0.2239732142857143,46,62,86,0.3797321428571428,46,103,168,0.3962946428571428
7575831202117045526,212,214,216,0.5126785714285714,25,37,58,0.3111904761904762,112,128,140,0.1761309523809524
7574767270392532246,209,220,232,0.543779761904762,48,39,36,0.1504761904761904,152,148,146,0.3057440476190476
7572922723836431638,149,164,169,0.2916964285714286,63,99,125,0.1808482142857143,184,195,196,0.5274553571428572
7569206708090850582,61,54,43,0.3428869047619047,63,126,175,0.4165178571428571,152,139,103,0.240595238095238
7568382003330993430,179,188,208,0.1939732142857143,11,10,9,0.6457589285714286,83,75,75,0.1602678571428571
7566297785914412310,87,167,240,0.5011904761904762,81,72,41,0.2232142857142857,195,167,116,0.2755952380952381
7563724139240885526,4,4,4,0.8666517857142857,150,132,116,0.0166964285714285,52,28,19,0.1166517857142857
7556661292233379075,135,101,82,0.4170982142857143,195,180,166,0.2504017857142857,34,26,26,0.3325
7553924193562266902,132,118,91,0.3522619047619048,39,46,26,0.5326488095238096,209,220,210,0.1150892857142857
7553554500972367107,46,29,28,0.2923214285714285,220,219,218,0.410625,152,130,125,0.2970535714285714
7545446733921209622,81,100,80,0.3896428571428571,5,9,9,0.4243112244897959,168,189,203,0.1860459183673469
