video_id,nb_textbloc
7257874855037586714,2
7210751695771553030,5
7193808719287766278,2
7192709681280781574,5
7191884217595219206,0
7190283346373610757,0
7184460864404229381,4
7183681305203330309,4
7171449726158589189,2
7168916057166597382,0
7164397666472873222,0
7161354120849427717,2
7143175958978186502,0
7132514036276628742,1
7124374690520419590,0
7094270154275605765,1
6958338154617228549,0
6955364241213771014,1
6921604099553119494,4
7604808799404264726,1
7603273994216738070,4
7596993704146046230,0
7593041331174362390,0
7589754729350155542,0
7587308013363449121,2
7583720650200730902,2
7577768828214512918,4
7575831202117045526,1
7574767270392532246,0
7572922723836431638,1
7569206708090850582,0
7568382003330993430,3
7566297785914412310,3
7563724139240885526,4
7556661292233379075,0
7553924193562266902,0
7553554500972367107,5
7545446733921209622,5
7537707440142454038,0
7480851478555659543,0
7478288153153916182,0
7476404323317222658,0
7474625701350509846,0
7473095088948759830,9
7471251146288418070,0
7468715378743528736,0
7467231080735690017,0
7466117788898315552,0
7465375886779403552,0
7463520186876939552,0
7458325240628661537,0
7456840693982465312,0
7454985264952266016,0
7452758752337399073,0
7452387800818666785,0
7449430237114404128,0
7444595106025442593,0
7441626192760884513,0
7440465091817999649,3
7437536576072125728,0
7436650165861141792,1
7436403924350864672,3
7436044441170857249,0
7434931188642352417,0
7433817907278269729,0
7431168865142328608,0
7429720640111791392,0
7428251635102534945,0
7425965869924142369,1
7423773390932135201,0
7414443436134223137,0
7412540786975231264,5
7410298388022824225,2
7407736509996043553,3
7399196283501628705,3
7394351547376880929,0
7392856168214957345,5
7390632928780340512,6
7388867149407849760,1
7387308322162052385,0
7386194546062839073,0
7382166710029208865,5
7381115594076146977,9
7379227737271094561,8
7379193504355978528,0
7378467106636991777,6
7377004580510436641,0
7376630682824576289,2
7374412100833250593,0
7374072615356353825,0
7369936386000031009,3
7367273018181160224,0
7366603470272515361,2
7365841944318086432,0
7365161137324805408,0
7363657122795490593,9
7361799258107841825,9
7361030582446378272,9
7358723892992642336,0
7356509644170333473,1
7355765566625402144,3
7354275810578140449,8
7354009165796216097,1
7353535610641976609,2
7352233957276044577,0
7351779832969104673,1
7350954462992682272,2
7350708094302735649,11
7350207537771220256,1
7348717316856712480,5
7348379737519082784,1
7346110636008475937,2
7345543122400726305,1
7344270149593091361,1
7343256943923858720,2
7340916267571858721,1
7338052242651598112,0
7337268516128591136,5
7335091592077856032,1
7332835826579164449,1
7331811695360363809,2
7331415350828911904,3
7330883086684622112,0
7329423244992236832,1
7328709134126206241,2
7326123173311728929,0
7325724813115346208,0
7324696131143847201,3
7324283735749266721,3
7323972466445946145,0
7323612868484631840,4
